Marca temporal,¿Cuál es tu universidad?,¿Cuál es tu carrera?,¿En qué año de la carrera estás? ,¿Cuál es tu presupuesto aproximado para un viaje de fin de semana? ,¿Qué tipo de destino prefieres?,¿Con quién sueles viajar?,"Qué tan importante es la:
Distancia desde la capital","Qué tan importante es la:
Popularidad del lugar","Qué tan importante es:
Que coincida con mis intereses",¿Cuáles de estos lugares has visitado?,"De los que visitaste, ¿cuál recomendarías más? (Puede ser más de uno)",¿Usarías una app que te recomiende destinos según tu perfil de universitario?
13/04/2026 11:38:37,Universidad del Valle de Guatemala,Licenciatura En Administración De Empresas,3ro,Q500–Q1000,"Naturaleza, Playas / Ríos",Familia,3,4,5,"Antigua Guatemala, Lago Atitlán, Quetzaltenango, Semuc Champey, Tikal","Tikal, Semuc Champey",Sí
14/04/2026 12:21:24,Universidad del Valle de Guatemala,Ingeniería Mecánica,2do,Más de Q1000,"Naturaleza, Playas / Ríos, Gastronomía",Familia,4,2,4,"Antigua Guatemala, Lago Atitlán, Río Dulce",Lago Atitlán,No
14/04/2026 12:22:16,Universidad del Valle de Guatemala,Ingeniería Mecánica,2do,Menos de Q200,Naturaleza,Amigos,3,2,4,"Antigua Guatemala, Lago Atitlán",Lago Atitlán,Sí
14/04/2026 13:21:50,Universidad del Valle de Guatemala,Nutrición,1ro,Más de Q1000,"Naturaleza, Historia, Playas / Ríos",Familia,2,5,5,"Antigua Guatemala, Lago Atitlán, Tikal",Tikal,Sí
14/04/2026 13:25:26,Universidad del Valle de Guatemala,Relaciones Internacionales,1ro,Q500–Q1000,"Naturaleza, Playas / Ríos",Familia,4,3,5,"Antigua Guatemala, Semuc Champey, Tikal",Semuc Champey,Sí
15/04/2026 11:55:38,Universidad del Valle de Guatemala,Ingeniería Mecánica Industrial,2do,Q200 - Q500,"Playas / Ríos, Gastronomía","Amigos, Familia",4,4,5,"Antigua Guatemala, Lago Atitlán, Quetzaltenango",Antigua Guatemala,Sí
15/04/2026 11:57:01,Universidad del Valle de Guatemala,Derecho,2do,Más de Q1000,"Historia, Mercados / Cultura, Gastronomía","Amigos, Familia",2,1,1,"Antigua Guatemala, Lago Atitlán, Quetzaltenango, Río Dulce, Semuc Champey, Tikal",Antigua,Sí
15/04/2026 12:03:29,Universidad del Valle de Guatemala,Nutricion,2do,Q200 - Q500,"Naturaleza, Historia, Mercados / Cultura, Playas / Ríos, Gastronomía","Solo/A, Amigos, Familia",4,1,4,"Antigua Guatemala, Lago Atitlán","Antigua Guatemala, Lago Atitlán",Sí
16/04/2026 11:06:19,Universidad del Valle de Guatemala,Ingenieria En Sistemas,2do,Q200 - Q500,"Historia, Arqueología, Gastronomía",Familia,3,2,5,"Antigua Guatemala, Lago Atitlán, Quetzaltenango, Río Dulce, Semuc Champey, Tikal",Peten,Sí
18/04/2026 13:48:33,Universidad del Valle de Guatemala,Sistemas,2do,Q500–Q1000,"Naturaleza, Historia, Mercados / Cultura","Solo/A, Familia",5,1,5,"Antigua Guatemala, Lago Atitlán, Quetzaltenango, Río Dulce, Semuc Champey, Tikal","Río Dulce, Tikal Y La Antigua",No
18/04/2026 13:50:32,Universidad del Valle de Guatemala,Ingeniería Mecánica,2do,Q200 - Q500,"Naturaleza, Historia, Arqueología, Mercados / Cultura, Playas / Ríos","Solo/A, Familia",2,2,4,"Antigua Guatemala, Lago Atitlán, Quetzaltenango, Río Dulce, Semuc Champey, Tikal",Lago De Atitlan,No
18/04/2026 13:52:53,Universidad del Valle de Guatemala,Diseño Gráfico,2do,Más de Q1000,"Naturaleza, Historia, Arqueología",Familia,1,3,5,"Antigua Guatemala, Lago Atitlán, Semuc Champey, Tikal",Lago Atitlan Y Semuc Champey,No
21/04/2026 9:20:20,Universidad del Valle de Guatemala,Arquitectura,1ro,Q500–Q1000,"Naturaleza, Playas / Ríos",Familia,4,5,4,"Antigua Guatemala, Lago Atitlán, Río Dulce, Semuc Champey, Tikal",Tikal,Sí
21/04/2026 9:20:40,Universidad del Valle de Guatemala,Arquitectura,1ro,Q200 - Q500,"Naturaleza, Playas / Ríos",Familia,3,4,5,"Antigua Guatemala, Lago Atitlán, Río Dulce, Semuc Champey, Tikal",Semuc,Sí
21/04/2026 10:30:14,Universidad del Valle de Guatemala,Ingeniería Mecánica Industrial,2do,Q200 - Q500,"Playas / Ríos, Gastronomía","Amigos, Familia",3,5,4,"Antigua Guatemala, Lago Atitlán, Quetzaltenango",La Antigua,Sí
21/04/2026 10:32:06,Universidad del Valle de Guatemala,Bioquímica Y Microbiología,2do,Q500–Q1000,"Naturaleza, Playas / Ríos, Gastronomía","Amigos, Familia",2,3,5,"Antigua Guatemala, Lago Atitlán, Río Dulce, Tikal",Rio Dulce,Sí
22/04/2026 7:46:51,Universidad del Valle de Guatemala,Ingeniería Mecánica,2do,Q200 - Q500,"Naturaleza, Playas / Ríos, Gastronomía","Amigos, Familia",3,1,5,"Antigua Guatemala, Lago Atitlán, Quetzaltenango, Río Dulce, Semuc Champey, Tikal",Atitlan,Sí
